Date	City	Kilometers
2019-06-20	0S	27
2019-06-20	7M	1
2019-06-20	SY	40
2019-06-20	42	70
2019-06-21	7H	25
2019-06-21	IN	24
2019-06-21	QQ	11
2019-06-21	GB	25
2019-06-21	Q5	3
2019-06-21	PE	15
2019-06-21	E5	27
2019-06-21	JB	18
2019-06-21	O9	4
2019-06-21	6E	13
2019-06-21	VI	36
2019-06-21	FS	6
2019-06-21	Q3	21
2019-06-21	LU	29
2019-06-21	KH	14
2019-06-21	IF	4
2019-06-21	ZV	33
2019-06-21	O6	43
2019-06-21	PH	19
2019-06-21	AT	3
2019-06-21	5L	20
2019-06-21	9L	4
2019-06-21	BN	11
2019-06-21	0A	31
2019-06-22	RG	40
2019-06-22	79	41
2019-06-22	ZU	63
2019-06-22	59	65
2019-06-22	83	3
2019-06-22	L8	25
2019-06-22	AJ	7
2019-06-22	FC	2
2019-06-22	UV	34
2019-06-22	PZ	1
2019-06-22	T4	34
2019-06-22	KJ	13
2019-06-22	WT	22
2019-06-22	23	70
2019-06-22	JN	51
2019-06-22	L6	22
2019-06-22	LB	12
2019-06-22	LT	18
2019-06-22	6P	26
2019-06-22	C9	10
2019-06-22	C0	9
2019-06-22	FJ	29
2019-06-22	L9	11
2019-06-22	FQ	18
2019-06-23	IE	9
2019-06-23	D7	19
2019-06-23	HG	20
2019-06-23	M2	16
2019-06-23	LH	21
2019-06-23	A4	31
2019-06-23	M0	8
2019-06-23	JX	37
2019-06-23	GI	18
2019-06-23	T2	10
2019-06-23	I7	6
2019-06-23	XH	32
2019-06-23	KE	16
2019-06-23	NC	1
2019-06-23	2M	18
2019-06-23	4J	1
2019-06-23	8M	7
2019-06-23	GD	6
2019-06-23	6T	1
2019-06-23	BF	2
2019-06-23	HF	6
2019-06-23	VD	12
2019-06-23	1R	23
2019-06-23	IA	7
2019-06-24	Y1	0
2019-06-24	DM	7
2019-06-24	2Z	5
2019-06-24	KR	17
2019-06-24	H5	32
2019-06-24	HE	16
2019-06-24	Z0	3
2019-06-24	DW	17
2019-06-24	09	50
2019-06-24	BH	33
2019-06-24	2A	23
2019-06-24	4S	20
2019-06-24	OC	11
2019-06-24	WP	21
2019-06-24	FR	15
2019-06-24	XC	3
2019-06-24	8P	19
2019-06-24	U0	3
2019-06-24	MM	21
2019-06-24	44	50
2019-06-24	AQ	42
2019-06-24	UH	11
2019-06-24	3W	19
2019-06-24	OD	9
2019-06-25	PM	10
2019-06-25	W8	14
2019-06-25	88	31
2019-06-25	G2	9
2019-06-25	LD	23
2019-06-25	SH	11
2019-06-25	89	42
2019-06-25	XS	58
2019-06-25	MC	27
2019-06-25	O9	8
2019-06-25	Z0	2
2019-06-25	XW	37
2019-06-25	H4	51
2019-06-25	S6	13
2019-06-25	BT	13
2019-06-25	9Y	4
2019-06-25	01	49
2019-06-25	KP	58
2019-06-25	GM	7
2019-06-25	8L	16
2019-06-25	UT	37
2019-06-25	TW	2
2019-06-25	O1	43
2019-06-25	DF	10
2019-06-26	S8	1
2019-06-26	KB	2
2019-06-26	WC	13
2019-06-26	GZ	7
2019-06-26	82	55
2019-06-26	80	2
2019-06-26	S5	32
2019-06-26	H2	14
2019-06-26	XQ	47
2019-06-26	7L	38
2019-06-26	MH	18
2019-06-26	JP	5
2019-06-26	9B	31
2019-06-26	YA	31
2019-06-26	SB	5
2019-06-26	6N	17
2019-06-26	P4	0
2019-06-26	45	27
2019-06-26	XZ	73
2019-06-26	1T	45
2019-06-26	OQ	27
2019-06-26	E0	43
2019-06-26	75	9
2019-06-26	4V	30
2019-06-27	C6	17
2019-06-27	Y3	19
2019-06-27	NP	18
2019-06-27	AT	9
2019-06-27	36	44
2019-06-27	6O	28
2019-06-27	FQ	18
2019-06-27	RD	1
2019-06-27	AF	15
2019-06-27	HS	20
2019-06-27	Y1	17
2019-06-27	B5	19
2019-06-27	XZ	59
2019-06-27	RH	24
2019-06-27	JS	3
2019-06-27	L4	29
2019-06-27	DZ	30
2019-06-27	VV	14
2019-06-27	6I	45
2019-06-27	GR	26
2019-06-27	Z7	8
2019-06-27	BX	9
2019-06-27	H6	28
2019-06-27	5D	5
2019-06-28	J8	9
2019-06-28	83	23
2019-06-28	S1	25
2019-06-28	2H	10
2019-06-28	EM	24
2019-06-28	HR	8
2019-06-28	TF	0
2019-06-28	SK	4
2019-06-28	NZ	10
2019-06-28	42	66
2019-06-28	W7	40
2019-06-28	EI	0
2019-06-28	FN	6
2019-06-28	0Y	11
2019-06-28	35	33
2019-06-28	BV	48
2019-06-28	W4	13
2019-06-28	VZ	37
2019-06-28	6G	51
2019-06-28	BG	12
2019-06-28	99	23
2019-06-28	LR	44
2019-06-28	8Q	21
2019-06-28	Q9	1
2019-06-29	F9	11
2019-06-29	R0	3
2019-06-29	ZH	32
2019-06-29	B1	47
2019-06-29	XJ	47
2019-06-29	9A	40
2019-06-29	O5	10
2019-06-29	UR	35
2019-06-29	T8	27
2019-06-29	G7	14
2019-06-29	CQ	22
2019-06-29	25	45
2019-06-29	CA	29
2019-06-29	S0	1
2019-06-29	CS	19
2019-06-29	VT	20
2019-06-29	T1	37
2019-06-29	IZ	30
2019-06-29	XR	7
2019-06-29	CQ	22
2019-06-29	AH	11
2019-06-29	MH	12
2019-06-29	SZ	24
2019-06-29	IT	16
2019-06-30	9X	12
2019-06-30	PJ	9
2019-06-30	NI	3
2019-06-30	IP	2
2019-06-30	G4	30
2019-06-30	4J	3
2019-06-30	T6	12
2019-06-30	AH	1
2019-06-30	DR	13
2019-06-30	VD	4
2019-06-30	EU	0
2019-06-30	9B	31
2019-06-30	E7	1
2019-06-30	3G	2
2019-06-30	FI	21
2019-06-30	2K	18
2019-06-30	1E	7
2019-06-30	OC	28
2019-06-30	A5	28
2019-06-30	WD	37
2019-06-30	G6	30
2019-06-30	QV	42
2019-06-30	78	56
2019-06-30	KH	36
2019-07-01	QR	16
2019-07-01	OE	15
2019-07-01	KU	12
2019-07-01	5P	27
2019-07-01	W4	6
2019-07-01	K2	14
2019-07-01	AF	10
2019-07-01	6A	16
2019-07-01	5N	12
2019-07-01	3L	4
2019-07-01	PZ	43
2019-07-01	37	64
2019-07-01	AZ	49
2019-07-01	FK	10
2019-07-01	BQ	2
2019-07-01	W1	11
2019-07-01	QQ	26
2019-07-01	ZT	12
2019-07-01	XI	13
2019-07-01	WK	1
2019-07-01	E8	37
2019-07-01	54	20
2019-07-01	82	1
2019-07-01	NP	52
2019-07-02	90	53
2019-07-02	OF	44
2019-07-02	4V	11
2019-07-02	KK	12
2019-07-02	4S	15
2019-07-02	5F	12
2019-07-02	8V	19
2019-07-02	FL	4
2019-07-02	72	41
2019-07-02	6E	18
2019-07-02	4V	15
2019-07-02	RC	11
2019-07-02	QG	3
2019-07-02	QX	17
2019-07-02	HI	24
2019-07-02	1V	10
2019-07-02	K5	7
2019-07-02	6P	6
2019-07-02	4U	3
2019-07-02	UO	27
2019-07-02	VE	9
2019-07-02	YJ	8
2019-07-02	JF	19
2019-07-02	8X	0
2019-07-03	QL	13
2019-07-03	WA	5
2019-07-03	1L	27
2019-07-03	Q1	5
2019-07-03	LU	31
2019-07-03	BX	7
2019-07-03	U4	17
2019-07-03	BE	2
2019-07-03	46	29
2019-07-03	8N	28
2019-07-03	KF	11
2019-07-03	IZ	18
2019-07-03	N6	31
2019-07-03	81	27
2019-07-03	B8	17
2019-07-03	WX	53
2019-07-03	2U	40
2019-07-03	SK	23
2019-07-03	TJ	0
2019-07-03	0R	28
2019-07-03	AW	22
2019-07-03	WD	3
2019-07-03	YW	21
2019-07-03	DZ	18
2019-07-04	ZK	7
2019-07-04	4M	36
2019-07-04	4W	10
2019-07-04	BW	14
2019-07-04	WA	1
2019-07-04	5C	32
2019-07-04	B8	2
2019-07-04	JO	31
2019-07-04	D9	28
2019-07-04	GD	14
2019-07-04	NQ	20
2019-07-04	HE	18
2019-07-04	NC	4
2019-07-04	HK	2
2019-07-04	DH	7
2019-07-04	G2	19
2019-07-04	5P	12
2019-07-04	91	27
2019-07-04	96	5
2019-07-04	61	8
2019-07-04	5O	29
2019-07-04	C0	17
2019-07-04	23	14
2019-07-04	VS	68
2019-07-05	XV	5
2019-07-05	3Z	33
2019-07-05	N2	13
2019-07-05	VH	30
2019-07-05	Q4	25
2019-07-05	UZ	42
2019-07-05	70	72
2019-07-05	WF	54
2019-07-05	CZ	0
2019-07-05	B5	38
2019-07-05	UG	37
2019-07-05	VH	2
2019-07-05	3Z	17
2019-07-05	WI	19
2019-07-05	XN	6
2019-07-05	VR	2
2019-07-05	7Q	32
2019-07-05	PP	24
2019-07-05	EF	21
2019-07-05	JY	24
2019-07-05	CF	26
2019-07-05	JP	17
2019-07-05	P1	25
2019-07-05	OM	27
2019-07-06	YD	1
2019-07-06	H5	32
2019-07-06	ZS	48
2019-07-06	1N	46
2019-07-06	6Z	17
2019-07-06	RY	27
2019-07-06	6H	45
2019-07-06	DB	8
2019-07-06	FK	11
2019-07-06	PX	23
2019-07-06	2G	47
2019-07-06	NZ	47
2019-07-06	HU	11
2019-07-06	GQ	5
2019-07-06	AV	1
2019-07-06	P7	16
2019-07-06	8R	3
2019-07-06	DU	15
2019-07-06	4R	19
2019-07-06	WT	37
2019-07-06	29	64
2019-07-06	8Y	38
2019-07-06	GG	3
2019-07-06	9E	16
2019-07-07	4R	8
2019-07-07	97	22
2019-07-07	LP	44
2019-07-07	VA	5
2019-07-07	X7	8
2019-07-07	HV	15
2019-07-07	AZ	3
2019-07-07	UA	5
2019-07-07	EE	12
2019-07-07	IU	20
2019-07-07	IX	3
2019-07-07	DT	9
2019-07-07	YV	23
2019-07-07	6C	54
2019-07-07	SA	27
2019-07-07	W5	8
2019-07-07	71	36
2019-07-07	4B	14
2019-07-07	ZJ	46
2019-07-07	QP	3
2019-07-07	Z4	19
2019-07-07	N0	16
2019-07-07	9H	3
2019-07-07	KA	11
2019-07-08	W0	5
2019-07-08	4K	8
2019-07-08	85	18
2019-07-08	GK	37
2019-07-08	WF	11
2019-07-08	JC	16
2019-07-08	4S	6
2019-07-08	IW	25
2019-07-08	XT	12
2019-07-08	2I	49
2019-07-08	MY	43
2019-07-08	LD	22
2019-07-08	KN	9
2019-07-08	8V	11
2019-07-08	40	42
2019-07-08	U1	34
2019-07-08	AR	13
2019-07-08	V1	12
2019-07-08	67	26
2019-07-08	0Y	28
2019-07-08	A0	24
2019-07-08	69	2
2019-07-08	QM	47
2019-07-08	2F	38
2019-07-09	7J	9
2019-07-09	F8	3
2019-07-09	KA	14
2019-07-09	CU	12
2019-07-09	0M	27
2019-07-09	LE	20
2019-07-09	I9	15
2019-07-09	LL	22
2019-07-09	ZM	15
2019-07-09	7B	46
2019-07-09	XD	35
2019-07-09	LN	2
2019-07-09	GU	2
2019-07-09	F7	31
2019-07-09	XJ	37
2019-07-09	96	51
2019-07-09	SO	51
2019-07-09	FZ	2
2019-07-09	GU	4
2019-07-09	64	50
2019-07-09	3K	20
2019-07-09	ZP	44
2019-07-09	4J	44
2019-07-09	5K	2
2019-07-10	OH	23
2019-07-10	SU	17
2019-07-10	W5	28
2019-07-10	5J	13
2019-07-10	8L	5
2019-07-10	IZ	31
2019-07-10	6W	22
2019-07-10	YD	16
2019-07-10	FA	22
2019-07-10	6U	4
2019-07-10	JF	5
2019-07-10	FJ	0
2019-07-10	45	39
2019-07-10	4B	13
2019-07-10	GW	40
2019-07-10	10	61
2019-07-10	PS	66
2019-07-10	AL	22
2019-07-10	VK	20
2019-07-10	PA	16
2019-07-10	49	36
2019-07-10	JG	36
2019-07-10	GT	10
2019-07-10	HR	1
2019-07-11	RZ	18
2019-07-11	SQ	8
2019-07-11	G5	40
2019-07-11	KZ	41
2019-07-11	DE	28
2019-07-11	LW	26
2019-07-11	GI	19
2019-07-11	16	41
2019-07-11	5Z	40
2019-07-11	LS	16
2019-07-11	2T	25
2019-07-11	ZS	39
2019-07-11	6Y	30
2019-07-11	9E	17
2019-07-11	3T	9
2019-07-11	W2	2
2019-07-11	56	30
2019-07-11	19	1
2019-07-11	R7	31
2019-07-11	W4	2
2019-07-11	O1	11
2019-07-11	JL	22
2019-07-11	ZP	20
2019-07-11	6E	47
2019-07-12	2E	4
2019-07-12	58	10
2019-07-12	EX	48
2019-07-12	BP	11
2019-07-12	4P	14
2019-07-12	A2	17
2019-07-12	R1	16
2019-07-12	W5	9
2019-07-12	PJ	14
2019-07-12	TN	8
2019-07-12	OA	18
2019-07-12	G9	16
2019-07-12	M0	3
2019-07-12	0T	7
2019-07-12	IQ	22
2019-07-12	VG	3
2019-07-12	I2	34
2019-07-12	68	13
2019-07-12	EO	38
2019-07-12	C0	33
2019-07-12	Q5	19
2019-07-12	DS	17
2019-07-12	D0	35
2019-07-12	G7	10
2019-07-13	YE	32
2019-07-13	S2	25
2019-07-13	JM	18
2019-07-13	8S	12
2019-07-13	2E	20
2019-07-13	A5	1
2019-07-13	C1	2
2019-07-13	MK	36
2019-07-13	IY	10
2019-07-13	G4	39
2019-07-13	EL	22
2019-07-13	RJ	11
2019-07-13	EI	14
2019-07-13	6Q	7
2019-07-13	WB	18
2019-07-13	U1	19
2019-07-13	PR	28
2019-07-13	2T	28
2019-07-13	P2	4
2019-07-13	3B	13
2019-07-13	AN	26
2019-07-13	NK	10
2019-07-13	DQ	4
2019-07-13	WA	3
2019-07-14	2L	26
2019-07-14	NL	28
2019-07-14	A5	36
2019-07-14	C0	3
2019-07-14	M0	10
2019-07-14	XZ	53
2019-07-14	S2	45
2019-07-14	AW	19
2019-07-14	BJ	12
2019-07-14	49	31
2019-07-14	9Z	38
2019-07-14	AC	15
2019-07-14	GJ	13
2019-07-14	5Q	11
2019-07-14	DC	1
2019-07-14	FT	19
2019-07-14	TT	14
2019-07-14	03	69
2019-07-14	78	12
2019-07-14	1C	5
2019-07-14	3F	5
2019-07-14	RG	32
2019-07-14	L5	24
2019-07-14	1U	5
2019-07-15	Y8	11
2019-07-15	8W	2
2019-07-15	GO	7
2019-07-15	W1	14
2019-07-15	9E	10
2019-07-15	74	19
2019-07-15	DK	36
2019-07-15	VR	25
2019-07-15	4I	43
2019-07-15	HS	30
2019-07-15	42	53
2019-07-15	H4	22
2019-07-15	PN	34
2019-07-15	UN	5
2019-07-15	GZ	2
2019-07-15	MC	17
2019-07-15	Q0	15
2019-07-15	Z2	11
2019-07-15	SY	32
2019-07-15	9F	45
2019-07-15	X4	13
2019-07-15	K1	16
2019-07-15	8H	4
2019-07-15	7E	4
2019-07-16	Z6	20
2019-07-16	3Z	3
2019-07-16	HY	20
2019-07-16	EI	19
2019-07-16	GX	17
2019-07-16	RZ	13
2019-07-16	ST	5
2019-07-16	QE	17
2019-07-16	X2	12
2019-07-16	TA	11
2019-07-16	NT	13
2019-07-16	7A	42
2019-07-16	3A	4
2019-07-16	Q9	22
2019-07-16	2G	17
2019-07-16	GS	33
2019-07-16	AV	3
2019-07-16	Y9	5
2019-07-16	ZC	11
2019-07-16	0J	35
2019-07-16	RB	26
2019-07-16	IT	9
2019-07-16	PU	8
2019-07-16	T4	29
2019-07-17	56	29
2019-07-17	3O	23
2019-07-17	HX	30
2019-07-17	V2	24
2019-07-17	SJ	21
2019-07-17	05	56
2019-07-17	NL	53
2019-07-17	T7	15
2019-07-17	PR	23
2019-07-17	7W	20
2019-07-17	DI	1
2019-07-17	WN	24
2019-07-17	B3	48
2019-07-17	F0	1
2019-07-17	4B	0
2019-07-17	E1	0
2019-07-17	BO	27
2019-07-17	RX	25
2019-07-17	8H	42
2019-07-17	V7	13
2019-07-17	PB	5
2019-07-17	HH	2
2019-07-17	SN	17
2019-07-17	FW	4
2019-07-18	F4	35
2019-07-18	4R	12
2019-07-18	B2	18
2019-07-18	M1	10
2019-07-18	8O	9
2019-07-18	AL	6
2019-07-18	WO	25
2019-07-18	9V	23
2019-07-18	VX	31
2019-07-18	IK	26
2019-07-18	MI	2
2019-07-18	F9	23
2019-07-18	FA	8
2019-07-18	ZS	38
2019-07-18	KW	11
2019-07-18	1G	42
2019-07-18	UX	53
2019-07-18	2J	49
2019-07-18	Q4	9
2019-07-18	P3	2
2019-07-18	2M	4
2019-07-18	CB	6
2019-07-18	TC	18
2019-07-18	ZX	27
2019-07-19	8R	40
2019-07-19	T5	1
2019-07-19	EN	10
2019-07-19	FB	11
2019-07-19	DS	15
2019-07-19	TA	2
2019-07-19	NH	1
2019-07-19	81	45
2019-07-19	C6	16
2019-07-19	EJ	22
2019-07-19	GL	4
2019-07-19	9K	15
2019-07-19	1L	7
2019-07-19	V2	11
2019-07-19	J9	5
2019-07-19	8U	10
2019-07-19	8C	18
2019-07-19	6D	1
2019-07-19	DX	34
2019-07-19	5J	29
2019-07-19	MX	38
2019-07-19	NF	17
2019-07-19	A1	34
2019-07-19	NZ	54
2019-07-20	9J	37
2019-07-20	IW	29
2019-07-20	JP	6
2019-07-20	BV	2
2019-07-20	C2	35
2019-07-20	WJ	44
2019-07-20	B4	43
2019-07-20	JB	22
2019-07-20	9Z	7
2019-07-20	F3	26
2019-07-20	1G	1
2019-07-20	CZ	37
2019-07-20	1E	39
2019-07-20	9O	18
2019-07-20	SM	24
2019-07-20	70	57
2019-07-20	FD	35
2019-07-20	0P	10
2019-07-20	JC	13
2019-07-20	NM	14
2019-07-20	W0	20
2019-07-20	WH	24
2019-07-20	0C	44
2019-07-20	OX	52
2019-07-21	4K	40
2019-07-21	US	41
2019-07-21	SS	2
2019-07-21	E9	40
2019-07-21	3M	2
2019-07-21	U5	10
2019-07-21	HL	10
2019-07-21	VN	16
2019-07-21	OI	12
2019-07-21	UM	10
2019-07-21	6L	32
2019-07-21	0V	4
2019-07-21	TA	15
2019-07-21	X9	4
2019-07-21	Y3	5
2019-07-21	DA	7
2019-07-21	TN	29
2019-07-21	9F	35
2019-07-21	HC	12
2019-07-21	3F	18
2019-07-21	8G	6
2019-07-21	OD	20
2019-07-21	P5	14
2019-07-21	O8	2
2019-07-22	1K	11
2019-07-22	Y0	13
2019-07-22	Y5	5
2019-07-22	RJ	14
2019-07-22	BA	25
2019-07-22	P6	3
2019-07-22	E5	12
2019-07-22	RZ	50
2019-07-22	FG	31
2019-07-22	EK	3
2019-07-22	PW	23
2019-07-22	OA	23
2019-07-22	JE	1
2019-07-22	MC	1
2019-07-22	DB	10
2019-07-22	AE	0
2019-07-22	IE	8
2019-07-22	MQ	16
2019-07-22	UK	2
2019-07-22	FM	13
2019-07-22	TV	23
2019-07-22	E0	53
2019-07-22	Z8	29
2019-07-22	HS	9
2019-07-23	FG	14
2019-07-23	JS	16
2019-07-23	FY	2
2019-07-23	HE	18
2019-07-23	I7	13
2019-07-23	42	26
2019-07-23	CF	35
2019-07-23	WZ	40
2019-07-23	7W	35
2019-07-23	WX	33
2019-07-23	NP	17
2019-07-23	DX	2
2019-07-23	X1	19
2019-07-23	QG	15
2019-07-23	9Q	14
2019-07-23	CD	3
2019-07-23	PP	25
2019-07-23	UV	11
2019-07-23	34	68
2019-07-23	1Z	36
2019-07-23	7K	9
2019-07-23	20	32
2019-07-23	28	8
2019-07-23	61	3
2019-07-24	NY	64
2019-07-24	JG	22
2019-07-24	NX	21
2019-07-24	0X	30
2019-07-24	59	26
2019-07-24	JY	53
2019-07-24	KO	9
2019-07-24	F6	30
2019-07-24	T9	17
2019-07-24	DZ	17
2019-07-24	PV	8
2019-07-24	K1	42
2019-07-24	J7	5
2019-07-24	0M	4
2019-07-24	GF	16
2019-07-24	2X	3
2019-07-24	81	33
2019-07-24	IN	46
2019-07-24	48	43
2019-07-24	1H	13
2019-07-24	H1	0
2019-07-24	F0	3
2019-07-24	1X	19
2019-07-24	CV	16
2019-07-25	RJ	3
2019-07-25	77	46
2019-07-25	6Y	33
2019-07-25	B4	25
2019-07-25	DY	39
2019-07-25	6R	21
2019-07-25	5G	12
2019-07-25	PS	39
2019-07-25	47	56
2019-07-25	RZ	65
2019-07-25	QH	19
2019-07-25	74	46
2019-07-25	VV	65
2019-07-25	G8	45
2019-07-25	Z2	13
2019-07-25	RF	12
2019-07-25	UJ	7
2019-07-25	RG	6
2019-07-25	H2	31
2019-07-25	E0	5
2019-07-25	JK	32
2019-07-25	8V	7
2019-07-25	LE	3
2019-07-25	X4	5
2019-07-26	NM	15
2019-07-26	H7	28
2019-07-26	3P	4
2019-07-26	VM	32
2019-07-26	XA	10
2019-07-26	OU	11
2019-07-26	EV	9
2019-07-26	DW	0
2019-07-26	SU	13
2019-07-26	JW	7
2019-07-26	IB	22
2019-07-26	K9	7
2019-07-26	VD	22
2019-07-26	RZ	18
2019-07-26	06	70
2019-07-26	MY	64
2019-07-26	JD	24
2019-07-26	N4	12
2019-07-26	PR	32
2019-07-26	1I	40
2019-07-26	WQ	46
2019-07-26	D1	51
2019-07-26	ZN	51
2019-07-26	LS	9
2019-07-27	EY	1
2019-07-27	AM	16
2019-07-27	XO	25
2019-07-27	EU	13
2019-07-27	2D	36
2019-07-27	HI	27
2019-07-27	F8	19
2019-07-27	3Q	6
2019-07-27	YK	32
2019-07-27	ZD	6
2019-07-27	NC	13
2019-07-27	KI	3
2019-07-27	CB	15
2019-07-27	1D	16
2019-07-27	T3	18
2019-07-27	W9	9
2019-07-27	NP	14
2019-07-27	OB	13
2019-07-27	Z2	5
2019-07-27	NX	26
2019-07-27	CC	32
2019-07-27	ZW	43
2019-07-27	9F	50
2019-07-27	LV	35
2019-07-28	IB	23
2019-07-28	G3	17
2019-07-28	YW	54
2019-07-28	S4	41
2019-07-28	5H	10
2019-07-28	BV	27
2019-07-28	K6	23
2019-07-28	MT	32
2019-07-28	QD	12
2019-07-28	1Y	11
2019-07-28	75	30
2019-07-28	4C	11
2019-07-28	TQ	46
2019-07-28	DI	24
2019-07-28	U4	4
2019-07-28	7V	4
2019-07-28	GQ	11
2019-07-28	2H	30
2019-07-28	CB	11
2019-07-28	EE	5
2019-07-28	ND	8
2019-07-28	ZI	17
2019-07-28	CI	23
2019-07-28	A1	26
2019-07-29	20	16
